"judul","alamat","kamar","rumah","lahan","harga","lat","lng"
"Rumah cantik di Victoria Valley Citraland Bsb semarang 8637","Mijen, Semarang",3,240,240,3.2e+09,-7.05250231569011,110.31650613277
"Rumah MURAH 2LT di Banyumanik Selangkah Smk Grafika Semarang","Banyumanik, Semarang",3,84,84,6.47e+08,-7.07705600235257,110.422013035006
"DE VILLA TOWNHOUSE KEDUNGMUNDU SAMBIROTO TEMBALANG KETILENG SEMARANG","Kedungmundu, Semarang",3,65,65,810500000,-7.0311252640779,110.455495470749
"RUMAH 3 LANTAI CLUSTER DE VILLA TLAGA BODAS KAMPUS UNIKA AKPOL","Jatingaleh, Semarang",4,105,105,1.833e+09,-7.02798759329738,110.424925449275
"STRATEGIS MURAH RUMAH KOS MODERN SPESIAL RING 1 KAMPUS UNDIP SMG","Semarang Selatan, Semarang",10,219,219,3.6e+09,-6.99723271740388,110.429027975692
"STRATEGIS, RUMAH KOST MODERN NEMPEL FAKULTAS KEDOKTERAN  UNNES SMG","Semarang Tengah, Semarang",10,120,120,2.65e+09,-6.98032394070205,110.419566598933
"RUMAH FULL FURNISH PEDURUNGAN SEMARANG TIMUR","Pedurungan, Semarang",3,195,195,1.1e+09,-6.99813435166445,110.467816715982
"DIJUAL RUMAH MURAH MIJEN","Mijen, Semarang",2,120,120,5.5e+08,-6.96808429063309,110.413119241473
"DIJUAL RUMAH MURAH SENDANGMULYO KETILENG","Sendangmulyo, Semarang",2,60,60,3.6e+08,-6.63739517090069,111.548685494417
"DIJUAL RUMAH DBERINGIN HILLS WONOSARI NGALIYAN","Ngaliyan, Semarang",3,120,120,6.5e+08,-6.98703023522507,110.344206266342
"DIJUAL RUMAH GRAHA WANAMUKTI KEDUNG MUNDU","Tembalang, Semarang",2,77,77,4e+08,-7.06421330596888,110.324519050473
"STRATEGIS , LOKASI TERBAIK Kos Baru dekat UNDIP Semarang","Tembalang, Semarang",16,200,200,4.55e+09,-7.06365904202647,110.324514232023
"Dijual Kost Strategis 16 Kamar Dekat Pusat Kota Semarang","Gajahmungkur, Semarang",16,190,190,2.975e+09,-7.00845554980794,110.411977087755
"RUMAH SIAP HUNI SELANGKAH KE UNIMUS","Tembalang, Semarang",3,121,121,8.75e+08,-7.02160806480883,110.466585316924
"Dijual dibawah harga pasar rumah di pandanaran hills semarang","Tembalang, Semarang",3,84,84,1.03e+09,-7.06389948744149,110.326139280739
"Rumah Cantik Ready 2 Lantai Selangkah dari Jln Raya Grafika Banyumanik","Banyumanik, Semarang",3,102,102,9.95e+08,-7.07685207317762,110.420755857018
"Rumah cantik di beringin cluater","Beringin, Semarang",2,120,120,7.44e+08,-6.99655522889625,110.333825747482
"LOKASI PREMIUM, BEST UNIT Rumah Kos Dekat UNDIP SMG","Tembalang, Semarang",18,234,234,3.77e+09,-7.0655056167432,110.324408915663
"Cluster perumahan selangkah dari UNDIP, dekat berbagai fasilitas umum","Tembalang, Semarang",2,50,50,4.3e+08,-7.06964893826267,110.450565578169
"CLUSTER DEKAT UNDIP, LAGI ADA PROMO DISKON AGUSTUS, BONUS AC 1 UNIT","Kramas, Semarang",3,55,55,4.3e+08,-7.07108139297923,110.448484161999
"Rumah murah di semarang terdapat 4 kos-kosan yang siap huni","Bawen, Semarang",4,81,81,1.5e+08,-7.24673127140563,110.433123391747
"Dijual Kost Baru Strategis di Ring 1 Kampus UNDIP Semarang","Tembalang, Semarang",10,114,114,1.975e+09,-7.06431329303476,110.324596138816
"Rumah murah di semarang yang siap huni","Banyumanik, Semarang",2,72,72,1.5e+08,-7.08055734311305,110.413561670713
"Cluster Main Road Tipe Del/Neo Blossom","Tembalang, Semarang",3,220,220,3703044000,-7.03681534199935,110.45846943338
"Cluster Main Road Tipe Athena","Tembalang, Semarang",4,240,240,4643271000,-7.03628035595926,110.457607245036
"Cluster Red Terracotta Tipe Fawn Del","Tembalang, Semarang",1,72,72,1056781000,-7.03773333480635,110.457099863356
"Cluster Red Terracotta Tipe Myka","Tembalang, Semarang",2,120,120,1635945000,-7.03648115860538,110.458467844905
"CLUSTER BARU SIAP HUNI SHM KEDUNGPANE NGALIYAN SEMARANG","Kedungpane, Semarang",2,120,120,559900000,-7.03940273698531,110.338425493638
"Rumah cantik minimalis di jl merpati pedurungan semarang timur 9067","Pedurungan Tengah, Semarang",2,80,80,5.25e+08,-7.00834046136523,110.495807274112
"Rumah hook lt 408 di taman majapahit pedurungan semarang  6855","Pedurungan Lor, Semarang",3,408,408,3.5e+09,-7.01550118682953,110.484243638613
"Rumah cantik di Victoria Valley Citraland Bsb semarang 8637","Mijen, Semarang",3,240,240,3.2e+09,-7.05366852299433,110.317764640267
"Rumah MURAH 2LT di Banyumanik Selangkah Smk Grafika Semarang","Banyumanik, Semarang",3,84,84,6.47e+08,-7.07865673988797,110.420335727892
"DE VILLA TOWNHOUSE KEDUNGMUNDU SAMBIROTO TEMBALANG KETILENG SEMARANG","Kedungmundu, Semarang",3,65,65,810500000,-7.03122612483379,110.455384416275
"RUMAH 3 LANTAI CLUSTER DE VILLA TLAGA BODAS KAMPUS UNIKA AKPOL","Jatingaleh, Semarang",4,105,105,1.833e+09,-7.0285203258968,110.425050337012
"STRATEGIS MURAH RUMAH KOS MODERN SPESIAL RING 1 KAMPUS UNDIP SMG","Semarang Selatan, Semarang",10,219,219,3.6e+09,-6.99793861527621,110.429403227964
"STRATEGIS, RUMAH KOST MODERN NEMPEL FAKULTAS KEDOKTERAN  UNNES SMG","Semarang Tengah, Semarang",10,120,120,2.65e+09,-6.97977275682966,110.419259230419
"RUMAH FULL FURNISH PEDURUNGAN SEMARANG TIMUR","Pedurungan, Semarang",3,195,195,1.1e+09,-6.99964739128038,110.468404999988
"DIJUAL RUMAH MURAH MIJEN","Mijen, Semarang",2,120,120,5.5e+08,-6.96772251237288,110.412873553441
"DIJUAL RUMAH MURAH SENDANGMULYO KETILENG","Sendangmulyo, Semarang",2,60,60,3.6e+08,-6.63720143772168,111.54793145821
"DIJUAL RUMAH DBERINGIN HILLS WONOSARI NGALIYAN","Ngaliyan, Semarang",3,120,120,6.5e+08,-6.988307320222,110.344707110092
"DIJUAL RUMAH GRAHA WANAMUKTI KEDUNG MUNDU","Tembalang, Semarang",2,77,77,4e+08,-7.06435712866028,110.324395275381
"STRATEGIS , LOKASI TERBAIK Kos Baru dekat UNDIP Semarang","Tembalang, Semarang",16,200,200,4.55e+09,-7.06454348417706,110.326183281803
"Dijual Kost Strategis 16 Kamar Dekat Pusat Kota Semarang","Gajahmungkur, Semarang",16,190,190,2.975e+09,-7.00766129462253,110.412941610209
"RUMAH SIAP HUNI SELANGKAH KE UNIMUS","Tembalang, Semarang",3,121,121,8.75e+08,-7.0219513857569,110.466407944531
"Dijual dibawah harga pasar rumah di pandanaran hills semarang","Tembalang, Semarang",3,84,84,1.03e+09,-7.06521658247485,110.324711929202
"Rumah Cantik Ready 2 Lantai Selangkah dari Jln Raya Grafika Banyumanik","Banyumanik, Semarang",3,102,102,9.95e+08,-7.07800543377401,110.422378945495
"Rumah cantik di beringin cluater","Beringin, Semarang",2,120,120,7.44e+08,-6.99583397943508,110.333387046121
"LOKASI PREMIUM, BEST UNIT Rumah Kos Dekat UNDIP SMG","Tembalang, Semarang",18,234,234,3.77e+09,-7.06420114435916,110.324850266252
"Cluster perumahan selangkah dari UNDIP, dekat berbagai fasilitas umum","Tembalang, Semarang",2,50,50,4.3e+08,-7.06980130683522,110.450446205497
"CLUSTER DEKAT UNDIP, LAGI ADA PROMO DISKON AGUSTUS, BONUS AC 1 UNIT","Kramas, Semarang",3,55,55,4.3e+08,-7.06975187149782,110.450285389868
"Rumah murah di semarang terdapat 4 kos-kosan yang siap huni","Bawen, Semarang",4,81,81,1.5e+08,-7.24547821999753,110.433020843006
"Dijual Kost Baru Strategis di Ring 1 Kampus UNDIP Semarang","Tembalang, Semarang",10,114,114,1.975e+09,-7.0638930017814,110.324529678739
"Rumah murah di semarang yang siap huni","Banyumanik, Semarang",2,72,72,1.5e+08,-7.08094387116078,110.412519265532
"Cluster Main Road Tipe Del/Neo Blossom","Tembalang, Semarang",3,220,220,3703044000,-7.03736964293203,110.458683425858
"Cluster Main Road Tipe Athena","Tembalang, Semarang",4,240,240,4643271000,-7.0372081060168,110.458767232751
"Cluster Red Terracotta Tipe Fawn Del","Tembalang, Semarang",1,72,72,1056781000,-7.0370566614201,110.457136999261
"Cluster Red Terracotta Tipe Myka","Tembalang, Semarang",2,120,120,1635945000,-7.03660046484607,110.457495661024
"CLUSTER BARU SIAP HUNI SHM KEDUNGPANE NGALIYAN SEMARANG","Kedungpane, Semarang",2,120,120,559900000,-7.0396827759102,110.33920963587
"Rumah cantik minimalis di jl merpati pedurungan semarang timur 9067","Pedurungan Tengah, Semarang",2,80,80,5.25e+08,-7.00837839759728,110.494294391324
"Rumah hook lt 408 di taman majapahit pedurungan semarang  6855","Pedurungan Lor, Semarang",3,408,408,3.5e+09,-7.01436106572021,110.48333178215
"Rumah cantik di Victoria Valley Citraland Bsb semarang 8637","Mijen, Semarang",3,240,240,3.2e+09,-7.05395643861668,110.317591696298
"Rumah MURAH 2LT di Banyumanik Selangkah Smk Grafika Semarang","Banyumanik, Semarang",3,84,84,6.47e+08,-7.07749119846681,110.420278066939
"DE VILLA TOWNHOUSE KEDUNGMUNDU SAMBIROTO TEMBALANG KETILENG SEMARANG","Kedungmundu, Semarang",3,65,65,810500000,-7.03071756083144,110.45708331241
"RUMAH 3 LANTAI CLUSTER DE VILLA TLAGA BODAS KAMPUS UNIKA AKPOL","Jatingaleh, Semarang",4,105,105,1.833e+09,-7.0285772621464,110.42414114058
"STRATEGIS MURAH RUMAH KOS MODERN SPESIAL RING 1 KAMPUS UNDIP SMG","Semarang Selatan, Semarang",10,219,219,3.6e+09,-6.99852036579672,110.428996228248
"STRATEGIS, RUMAH KOST MODERN NEMPEL FAKULTAS KEDOKTERAN  UNNES SMG","Semarang Tengah, Semarang",10,120,120,2.65e+09,-6.98151196356564,110.419710345966
"RUMAH FULL FURNISH PEDURUNGAN SEMARANG TIMUR","Pedurungan, Semarang",3,195,195,1.1e+09,-6.99915453460555,110.468470070819
"DIJUAL RUMAH MURAH MIJEN","Mijen, Semarang",2,120,120,5.5e+08,-6.96629945474874,110.413932650332
"DIJUAL RUMAH MURAH SENDANGMULYO KETILENG","Sendangmulyo, Semarang",2,60,60,3.6e+08,-6.63636160695897,111.547364609511
"DIJUAL RUMAH DBERINGIN HILLS WONOSARI NGALIYAN","Ngaliyan, Semarang",3,120,120,6.5e+08,-6.98769493677255,110.343679514721
"DIJUAL RUMAH GRAHA WANAMUKTI KEDUNG MUNDU","Tembalang, Semarang",2,77,77,4e+08,-7.06506915490804,110.325155950792
"STRATEGIS , LOKASI TERBAIK Kos Baru dekat UNDIP Semarang","Tembalang, Semarang",16,200,200,4.55e+09,-7.06452914439197,110.326093692909
"Dijual Kost Strategis 16 Kamar Dekat Pusat Kota Semarang","Gajahmungkur, Semarang",16,190,190,2.975e+09,-7.0071977025277,110.412325329004
"RUMAH SIAP HUNI SELANGKAH KE UNIMUS","Tembalang, Semarang",3,121,121,8.75e+08,-7.02142442907155,110.466568041418
"Dijual dibawah harga pasar rumah di pandanaran hills semarang","Tembalang, Semarang",3,84,84,1.03e+09,-7.06530057686622,110.325054909785
"Rumah Cantik Ready 2 Lantai Selangkah dari Jln Raya Grafika Banyumanik","Banyumanik, Semarang",3,102,102,9.95e+08,-7.07826886965048,110.422000526894
"Rumah cantik di beringin cluater","Beringin, Semarang",2,120,120,7.44e+08,-6.99647706755884,110.33353711144
"LOKASI PREMIUM, BEST UNIT Rumah Kos Dekat UNDIP SMG","Tembalang, Semarang",18,234,234,3.77e+09,-7.06498951031788,110.32495781458
"Cluster perumahan selangkah dari UNDIP, dekat berbagai fasilitas umum","Tembalang, Semarang",2,50,50,4.3e+08,-7.07069191583416,110.450686107507
"CLUSTER DEKAT UNDIP, LAGI ADA PROMO DISKON AGUSTUS, BONUS AC 1 UNIT","Kramas, Semarang",3,55,55,4.3e+08,-7.0706464068163,110.44937420351
"Rumah murah di semarang terdapat 4 kos-kosan yang siap huni","Bawen, Semarang",4,81,81,1.5e+08,-7.24658745589146,110.431868554616
"Dijual Kost Baru Strategis di Ring 1 Kampus UNDIP Semarang","Tembalang, Semarang",10,114,114,1.975e+09,-7.06541401263894,110.325161290889
"Rumah murah di semarang yang siap huni","Banyumanik, Semarang",2,72,72,1.5e+08,-7.08067440739162,110.413373946955
"Cluster Main Road Tipe Del/Neo Blossom","Tembalang, Semarang",3,220,220,3703044000,-7.03593391766406,110.458729805281
"Cluster Main Road Tipe Athena","Tembalang, Semarang",4,240,240,4643271000,-7.03689420903527,110.458944918823
"Cluster Red Terracotta Tipe Fawn Del","Tembalang, Semarang",1,72,72,1056781000,-7.03691555594054,110.457987339625
"Cluster Red Terracotta Tipe Myka","Tembalang, Semarang",2,120,120,1635945000,-7.03637361423771,110.457788723968
"CLUSTER BARU SIAP HUNI SHM KEDUNGPANE NGALIYAN SEMARANG","Kedungpane, Semarang",2,120,120,559900000,-7.03996471953737,110.338251817031
"Rumah cantik minimalis di jl merpati pedurungan semarang timur 9067","Pedurungan Tengah, Semarang",2,80,80,5.25e+08,-7.00879716880648,110.494106213252
"Rumah hook lt 408 di taman majapahit pedurungan semarang  6855","Pedurungan Lor, Semarang",3,408,408,3.5e+09,-7.01460978951119,110.484718874715
"Rumah cantik di Victoria Valley Citraland Bsb semarang 8637","Mijen, Semarang",3,240,240,3.2e+09,-7.05326087082114,110.317173171295
"Rumah MURAH 2LT di Banyumanik Selangkah Smk Grafika Semarang","Banyumanik, Semarang",3,84,84,6.47e+08,-7.07703173278524,110.420209389903
"DE VILLA TOWNHOUSE KEDUNGMUNDU SAMBIROTO TEMBALANG KETILENG SEMARANG","Kedungmundu, Semarang",3,65,65,810500000,-7.03079040554071,110.455710365384
"RUMAH 3 LANTAI CLUSTER DE VILLA TLAGA BODAS KAMPUS UNIKA AKPOL","Jatingaleh, Semarang",4,105,105,1.833e+09,-7.02922159271734,110.424973708067
"STRATEGIS MURAH RUMAH KOS MODERN SPESIAL RING 1 KAMPUS UNDIP SMG","Semarang Selatan, Semarang",10,219,219,3.6e+09,-6.99833718145752,110.428505918359
"STRATEGIS, RUMAH KOST MODERN NEMPEL FAKULTAS KEDOKTERAN  UNNES SMG","Semarang Tengah, Semarang",10,120,120,2.65e+09,-6.98129733442915,110.419742519976
"RUMAH FULL FURNISH PEDURUNGAN SEMARANG TIMUR","Pedurungan, Semarang",3,195,195,1.1e+09,-6.99854099675244,110.468762229985
"DIJUAL RUMAH MURAH MIJEN","Mijen, Semarang",2,120,120,5.5e+08,-6.96700664878229,110.413506209215
"DIJUAL RUMAH MURAH SENDANGMULYO KETILENG","Sendangmulyo, Semarang",2,60,60,3.6e+08,-6.63685155775975,111.548960634758
"DIJUAL RUMAH DBERINGIN HILLS WONOSARI NGALIYAN","Ngaliyan, Semarang",3,120,120,6.5e+08,-6.98815745838193,110.344281449286
"DIJUAL RUMAH GRAHA WANAMUKTI KEDUNG MUNDU","Tembalang, Semarang",2,77,77,4e+08,-7.06429682631706,110.324574440936
"STRATEGIS , LOKASI TERBAIK Kos Baru dekat UNDIP Semarang","Tembalang, Semarang",16,200,200,4.55e+09,-7.06352593136215,110.32545980405
"Dijual Kost Strategis 16 Kamar Dekat Pusat Kota Semarang","Gajahmungkur, Semarang",16,190,190,2.975e+09,-7.0073135901696,110.413097470978
"RUMAH SIAP HUNI SELANGKAH KE UNIMUS","Tembalang, Semarang",3,121,121,8.75e+08,-7.02208797612641,110.466172834644
"Dijual dibawah harga pasar rumah di pandanaran hills semarang","Tembalang, Semarang",3,84,84,1.03e+09,-7.06460566218718,110.325200991718
"Rumah Cantik Ready 2 Lantai Selangkah dari Jln Raya Grafika Banyumanik","Banyumanik, Semarang",3,102,102,9.95e+08,-7.07872292613091,110.421412173776
"Rumah cantik di beringin cluater","Beringin, Semarang",2,120,120,7.44e+08,-6.99652088897191,110.33311276791
"LOKASI PREMIUM, BEST UNIT Rumah Kos Dekat UNDIP SMG","Tembalang, Semarang",18,234,234,3.77e+09,-7.06404009570237,110.324677591297
"Cluster perumahan selangkah dari UNDIP, dekat berbagai fasilitas umum","Tembalang, Semarang",2,50,50,4.3e+08,-7.07162506562036,110.450588702513
"CLUSTER DEKAT UNDIP, LAGI ADA PROMO DISKON AGUSTUS, BONUS AC 1 UNIT","Kramas, Semarang",3,55,55,4.3e+08,-7.06983427879818,110.448675308938
"Rumah murah di semarang terdapat 4 kos-kosan yang siap huni","Bawen, Semarang",4,81,81,1.5e+08,-7.24590404957758,110.432389199122
"Dijual Kost Baru Strategis di Ring 1 Kampus UNDIP Semarang","Tembalang, Semarang",10,114,114,1.975e+09,-7.06406631929995,110.32523787395
"Rumah murah di semarang yang siap huni","Banyumanik, Semarang",2,72,72,1.5e+08,-7.07986698856559,110.412794566429
"Cluster Main Road Tipe Del/Neo Blossom","Tembalang, Semarang",3,220,220,3703044000,-7.03672705255874,110.459003448943
"Cluster Main Road Tipe Athena","Tembalang, Semarang",4,240,240,4643271000,-7.03646357409988,110.457684662927
"Cluster Red Terracotta Tipe Fawn Del","Tembalang, Semarang",1,72,72,1056781000,-7.03655675787904,110.457136177392
"Cluster Red Terracotta Tipe Myka","Tembalang, Semarang",2,120,120,1635945000,-7.03729249570991,110.458553972181
"CLUSTER BARU SIAP HUNI SHM KEDUNGPANE NGALIYAN SEMARANG","Kedungpane, Semarang",2,120,120,559900000,-7.04110552108865,110.338933717898
"Rumah cantik minimalis di jl merpati pedurungan semarang timur 9067","Pedurungan Tengah, Semarang",2,80,80,5.25e+08,-7.00697115735785,110.494116493984
"Rumah hook lt 408 di taman majapahit pedurungan semarang  6855","Pedurungan Lor, Semarang",3,408,408,3.5e+09,-7.01452733194176,110.483901508141
"Rumah cantik di Victoria Valley Citraland Bsb semarang 8637","Mijen, Semarang",3,240,240,3.2e+09,-7.05276194701746,110.317507025026
"Rumah MURAH 2LT di Banyumanik Selangkah Smk Grafika Semarang","Banyumanik, Semarang",3,84,84,6.47e+08,-7.07856014223835,110.420644296735
"DE VILLA TOWNHOUSE KEDUNGMUNDU SAMBIROTO TEMBALANG KETILENG SEMARANG","Kedungmundu, Semarang",3,65,65,810500000,-7.03124048190702,110.455452079608
"RUMAH 3 LANTAI CLUSTER DE VILLA TLAGA BODAS KAMPUS UNIKA AKPOL","Jatingaleh, Semarang",4,105,105,1.833e+09,-7.02897448744439,110.425322099823
"STRATEGIS MURAH RUMAH KOS MODERN SPESIAL RING 1 KAMPUS UNDIP SMG","Semarang Selatan, Semarang",10,219,219,3.6e+09,-6.99713047833761,110.42920539706
"STRATEGIS, RUMAH KOST MODERN NEMPEL FAKULTAS KEDOKTERAN  UNNES SMG","Semarang Tengah, Semarang",10,120,120,2.65e+09,-6.9815311401084,110.420060394079
"RUMAH FULL FURNISH PEDURUNGAN SEMARANG TIMUR","Pedurungan, Semarang",3,195,195,1.1e+09,-6.99924833012814,110.467766627836
"DIJUAL RUMAH MURAH MIJEN","Mijen, Semarang",2,120,120,5.5e+08,-6.96786991080932,110.414607931569
"DIJUAL RUMAH MURAH SENDANGMULYO KETILENG","Sendangmulyo, Semarang",2,60,60,3.6e+08,-6.63757653370658,111.548779012983
"DIJUAL RUMAH DBERINGIN HILLS WONOSARI NGALIYAN","Ngaliyan, Semarang",3,120,120,6.5e+08,-6.98732720222345,110.343266130565
"DIJUAL RUMAH GRAHA WANAMUKTI KEDUNG MUNDU","Tembalang, Semarang",2,77,77,4e+08,-7.0635245095292,110.325425789094
"STRATEGIS , LOKASI TERBAIK Kos Baru dekat UNDIP Semarang","Tembalang, Semarang",16,200,200,4.55e+09,-7.06407773294448,110.324357306273
"Dijual Kost Strategis 16 Kamar Dekat Pusat Kota Semarang","Gajahmungkur, Semarang",16,190,190,2.975e+09,-7.00779112037802,110.412481195023
"RUMAH SIAP HUNI SELANGKAH KE UNIMUS","Tembalang, Semarang",3,121,121,8.75e+08,-7.02136759504344,110.464930502655
"Dijual dibawah harga pasar rumah di pandanaran hills semarang","Tembalang, Semarang",3,84,84,1.03e+09,-7.06361034949877,110.325790907735
"Rumah Cantik Ready 2 Lantai Selangkah dari Jln Raya Grafika Banyumanik","Banyumanik, Semarang",3,102,102,9.95e+08,-7.07858963702472,110.420612288359
"Rumah cantik di beringin cluater","Beringin, Semarang",2,120,120,7.44e+08,-6.99704970964678,110.332408228802
"LOKASI PREMIUM, BEST UNIT Rumah Kos Dekat UNDIP SMG","Tembalang, Semarang",18,234,234,3.77e+09,-7.06372995701441,110.325811407627
"Cluster perumahan selangkah dari UNDIP, dekat berbagai fasilitas umum","Tembalang, Semarang",2,50,50,4.3e+08,-7.07078437531118,110.449655009961
"CLUSTER DEKAT UNDIP, LAGI ADA PROMO DISKON AGUSTUS, BONUS AC 1 UNIT","Kramas, Semarang",3,55,55,4.3e+08,-7.07129337640524,110.449460448912
"Rumah murah di semarang terdapat 4 kos-kosan yang siap huni","Bawen, Semarang",4,81,81,1.5e+08,-7.24553511571271,110.432981037675
"Dijual Kost Baru Strategis di Ring 1 Kampus UNDIP Semarang","Tembalang, Semarang",10,114,114,1.975e+09,-7.0645707616751,110.325731258903
"Rumah murah di semarang yang siap huni","Banyumanik, Semarang",2,72,72,1.5e+08,-7.07996414775336,110.413905692378
"Cluster Main Road Tipe Del/Neo Blossom","Tembalang, Semarang",3,220,220,3703044000,-7.03732956913493,110.4582480779
"Cluster Main Road Tipe Athena","Tembalang, Semarang",4,240,240,4643271000,-7.03755660942669,110.457248733479
"Cluster Red Terracotta Tipe Fawn Del","Tembalang, Semarang",1,72,72,1056781000,-7.03764269145957,110.458699045412
"Cluster Red Terracotta Tipe Myka","Tembalang, Semarang",2,120,120,1635945000,-7.03685583427369,110.458523097913
"CLUSTER BARU SIAP HUNI SHM KEDUNGPANE NGALIYAN SEMARANG","Kedungpane, Semarang",2,120,120,559900000,-7.04020393542498,110.339565951308
"Rumah cantik minimalis di jl merpati pedurungan semarang timur 9067","Pedurungan Tengah, Semarang",2,80,80,5.25e+08,-7.0086147076211,110.494265330017
"Rumah hook lt 408 di taman majapahit pedurungan semarang  6855","Pedurungan Lor, Semarang",3,408,408,3.5e+09,-7.01566046189982,110.484958945007
"Rumah cantik di Victoria Valley Citraland Bsb semarang 8637","Mijen, Semarang",3,240,240,3.2e+09,-7.05246342330828,110.316330067187
"Rumah MURAH 2LT di Banyumanik Selangkah Smk Grafika Semarang","Banyumanik, Semarang",3,84,84,6.47e+08,-7.07774521011878,110.42084843172
"DE VILLA TOWNHOUSE KEDUNGMUNDU SAMBIROTO TEMBALANG KETILENG SEMARANG","Kedungmundu, Semarang",3,65,65,810500000,-7.03061902128484,110.457109074089
"RUMAH 3 LANTAI CLUSTER DE VILLA TLAGA BODAS KAMPUS UNIKA AKPOL","Jatingaleh, Semarang",4,105,105,1.833e+09,-7.02815289002424,110.424282652148
"STRATEGIS MURAH RUMAH KOS MODERN SPESIAL RING 1 KAMPUS UNDIP SMG","Semarang Selatan, Semarang",10,219,219,3.6e+09,-6.99890111794063,110.428212282676
"STRATEGIS, RUMAH KOST MODERN NEMPEL FAKULTAS KEDOKTERAN  UNNES SMG","Semarang Tengah, Semarang",10,120,120,2.65e+09,-6.98016310219726,110.420661188443
"RUMAH FULL FURNISH PEDURUNGAN SEMARANG TIMUR","Pedurungan, Semarang",3,195,195,1.1e+09,-6.99793737253569,110.466992837438
"DIJUAL RUMAH MURAH MIJEN","Mijen, Semarang",2,120,120,5.5e+08,-6.96686629964935,110.414425051049
"DIJUAL RUMAH MURAH SENDANGMULYO KETILENG","Sendangmulyo, Semarang",2,60,60,3.6e+08,-6.63801441069012,111.548781869078
"DIJUAL RUMAH DBERINGIN HILLS WONOSARI NGALIYAN","Ngaliyan, Semarang",3,120,120,6.5e+08,-6.98693786959231,110.343162915224
"DIJUAL RUMAH GRAHA WANAMUKTI KEDUNG MUNDU","Tembalang, Semarang",2,77,77,4e+08,-7.06415727523769,110.324691190934
"STRATEGIS , LOKASI TERBAIK Kos Baru dekat UNDIP Semarang","Tembalang, Semarang",16,200,200,4.55e+09,-7.0652108125748,110.325867760349
"Dijual Kost Strategis 16 Kamar Dekat Pusat Kota Semarang","Gajahmungkur, Semarang",16,190,190,2.975e+09,-7.00730931631541,110.413186392597
"RUMAH SIAP HUNI SELANGKAH KE UNIMUS","Tembalang, Semarang",3,121,121,8.75e+08,-7.02035449266335,110.465192211633
"Dijual dibawah harga pasar rumah di pandanaran hills semarang","Tembalang, Semarang",3,84,84,1.03e+09,-7.06466643324875,110.325142386457
"Rumah Cantik Ready 2 Lantai Selangkah dari Jln Raya Grafika Banyumanik","Banyumanik, Semarang",3,102,102,9.95e+08,-7.07823455384366,110.421186306613
"Rumah cantik di beringin cluater","Beringin, Semarang",2,120,120,7.44e+08,-6.9966811466597,110.33333118555
"LOKASI PREMIUM, BEST UNIT Rumah Kos Dekat UNDIP SMG","Tembalang, Semarang",18,234,234,3.77e+09,-7.06506223736619,110.324886393794
"Cluster perumahan selangkah dari UNDIP, dekat berbagai fasilitas umum","Tembalang, Semarang",2,50,50,4.3e+08,-7.07050197081438,110.45039426246
"CLUSTER DEKAT UNDIP, LAGI ADA PROMO DISKON AGUSTUS, BONUS AC 1 UNIT","Kramas, Semarang",3,55,55,4.3e+08,-7.06986479749715,110.449048994536
"Rumah murah di semarang terdapat 4 kos-kosan yang siap huni","Bawen, Semarang",4,81,81,1.5e+08,-7.24549079290817,110.431734909743
"Dijual Kost Baru Strategis di Ring 1 Kampus UNDIP Semarang","Tembalang, Semarang",10,114,114,1.975e+09,-7.06441495441142,110.324283923047
"Rumah murah di semarang yang siap huni","Banyumanik, Semarang",2,72,72,1.5e+08,-7.07957707268447,110.41316067773
"Cluster Main Road Tipe Del/Neo Blossom","Tembalang, Semarang",3,220,220,3703044000,-7.03635286639591,110.458245453137
"Cluster Main Road Tipe Athena","Tembalang, Semarang",4,240,240,4643271000,-7.03783106306761,110.457724670776
"Cluster Red Terracotta Tipe Fawn Del","Tembalang, Semarang",1,72,72,1056781000,-7.03710939259973,110.457398168482
"Cluster Red Terracotta Tipe Myka","Tembalang, Semarang",2,120,120,1635945000,-7.03776943977277,110.459041738709
"CLUSTER BARU SIAP HUNI SHM KEDUNGPANE NGALIYAN SEMARANG","Kedungpane, Semarang",2,120,120,559900000,-7.03970419412544,110.338330799218
"Rumah cantik minimalis di jl merpati pedurungan semarang timur 9067","Pedurungan Tengah, Semarang",2,80,80,5.25e+08,-7.00704860157362,110.495197384496
"Rumah hook lt 408 di taman majapahit pedurungan semarang  6855","Pedurungan Lor, Semarang",3,408,408,3.5e+09,-7.01491480325907,110.483570489333
"Rumah cantik di Victoria Valley Citraland Bsb semarang 8637","Mijen, Semarang",3,240,240,3.2e+09,-7.05228266475426,110.317144079042
"Rumah MURAH 2LT di Banyumanik Selangkah Smk Grafika Semarang","Banyumanik, Semarang",3,84,84,6.47e+08,-7.07763287427342,110.421080702131
"DE VILLA TOWNHOUSE KEDUNGMUNDU SAMBIROTO TEMBALANG KETILENG SEMARANG","Kedungmundu, Semarang",3,65,65,810500000,-7.03100435271299,110.456068289132
"RUMAH 3 LANTAI CLUSTER DE VILLA TLAGA BODAS KAMPUS UNIKA AKPOL","Jatingaleh, Semarang",4,105,105,1.833e+09,-7.02847737080697,110.424672262681
"STRATEGIS MURAH RUMAH KOS MODERN SPESIAL RING 1 KAMPUS UNDIP SMG","Semarang Selatan, Semarang",10,219,219,3.6e+09,-6.99740169882142,110.428996842389
